,kraken2_report
186826,6995.0
1300,425.0
1301,14802.0
2583584,774.0
2759692,576.0
1759399,565.0
3038077,469.0
712633,451.0
2972784,408.0
3028083,389.0
3077584,322.0
3020829,291.0
712623,247.0
2610896,174.0
3098075,161.0
3098076,146.0
2598453,128.0
2993430,125.0
3077723,116.0
2664091,98.0
3028084,80.0
1940319,78.0
1902136,67.0
3028082,43.0
2598457,34.0
2975349,27.0
2576376,23.0
2763068,19.0
712624,14.0
2954545,6.0
1839799,6.0
2975324,4.0
2954513,4.0
1319,1.0
2420310,1.0
1307,4902.0
1156431,3218.0
1326,2944.0
1305,2912.0
82348,2667.0
1328,838.0
1338,602.0
76860,164.0
2382163,1713.0
1336,1178.0
1334,370.0
1234680,1512.0
197614,1424.0
28037,1409.0
1313,1303.0
1303,1273.0
1302,1159.0
113107,892.0
1318,876.0
1311,845.0
1304,611.0
1335,609.0
1348,542.0
1341,473.0
684066,469.0
1314,463.0
2781599,459.0
1340,444.0
1329,434.0
1346,415.0
1308,396.0
1811193,370.0
45634,365.0
1501662,341.0
150055,329.0
1349,323.0
102886,314.0
2173853,302.0
1309,298.0
1888195,294.0
149016,294.0
361101,289.0
2819619,283.0
68892,274.0
1433513,229.0
400065,200.0
315405,189.0
1825069,184.0
2021971,177.0
1814128,175.0
1111760,150.0
1310,148.0
33040,142.0
29389,135.0
1345,125.0
257758,76.0
254785,51.0
102684,45.0
1343,41.0
2686210,14.0
1917441,13.0
2490633,4.0
59310,3.0
1357,1762.0
1358,1009.0
1359,757.0
1363,540.0
1281486,429.0
2749962,414.0
1366,351.0
2879149,298.0
3037457,22.0
2816912,9.0
2816910,3.0
2419773,166.0
1151742,155.0
1940789,150.0
1364,96.0
2749961,31.0
2592653,29.0
1859475,65.0
81852,237.0
1350,6901.0
1352,16487.0
1351,5976.0
2230877,2971.0
2060307,837.0
1834193,539.0
2230879,340.0
1834189,256.0
1834167,250.0
2230878,196.0
1834192,180.0
2057791,52.0
2582830,42.0
3050383,11.0
2920934,1.0
44008,3874.0
37734,1660.0
167972,1117.0
71452,1097.0
33945,873.0
53346,730.0
1354,726.0
160453,620.0
3031993,606.0
41997,576.0
417368,539.0
2005703,509.0
53345,384.0
118060,370.0
1805431,210.0
44009,91.0
1353,71.0
2839759,16.0
357441,1.0
2737,109.0
2738,764.0
218144,593.0
3109030,449.0
2925838,109.0
81947,418.0
2920380,367.0
2714946,252.0
2991418,244.0
2571750,171.0
2714947,153.0
2562451,122.0
519472,94.0
633807,53.0
51668,15.0
51669,1061.0
526944,251.0
290335,187.0
33970,263.0
33958,1124.0
1578,973.0
2594495,281.0
2879107,231.0
2983208,179.0
2099789,63.0
2594496,55.0
2099788,29.0
2695882,24.0
2983210,22.0
2983232,20.0
2594494,13.0
1545702,1.0
1584,1021.0
151781,539.0
33959,468.0
1604,467.0
2012495,415.0
83683,394.0
47770,386.0
1596,337.0
1587,272.0
1218494,217.0
1579,203.0
1218493,199.0
227945,192.0
303541,156.0
508451,142.0
2976676,134.0
109790,101.0
2107999,92.0
267818,83.0
2993455,61.0
147802,60.0
1600,47.0
2269374,14.0
2767887,154.0
1624,2034.0
1623,1944.0
1601,757.0
1605,536.0
1622,536.0
1606,480.0
89059,381.0
3050131,172.0
228229,138.0
762833,136.0
2742598,143.0
1598,1300.0
1613,511.0
97478,381.0
1632,222.0
1633,193.0
47493,105.0
227942,77.0
35787,71.0
2742601,40.0
104955,29.0
2759736,565.0
1597,708.0
47715,560.0
171523,310.0
88233,271.0
2100821,195.0
1582,121.0
3025672,91.0
57037,71.0
3068305,7.0
1243,953.0
1245,438.0
1246,260.0
115778,154.0
1244,58.0
33964,177.0
33968,103.0
2766470,86.0
1252,83.0
136609,26.0
2698683,4.0
979982,2.0
255248,4.0
46255,52.0
155866,460.0
1249,438.0
1583,312.0
759620,214.0
1631871,189.0
137591,105.0
1629,79.0
1162633,73.0
2714949,28.0
165096,26.0
2767842,111.0
1590,673.0
1589,513.0
2993456,370.0
60520,111.0
271881,27.0
2767879,134.0
1602,253.0
1612,227.0
83526,160.0
1007676,154.0
2304606,145.0
938155,106.0
1074467,103.0
1847728,80.0
2714036,40.0
392416,14.0
2767881,124.0
1614,402.0
53444,227.0
2940300,220.0
2940299,201.0
1625,82.0
2940301,47.0
1750535,18.0
2940297,1.0
1581,548.0
1588,442.0
1138822,92.0
152331,74.0
2883998,57.0
33962,54.0
2767885,83.0
28038,474.0
1599,382.0
164393,180.0
60519,124.0
2767886,1.0
1580,501.0
267363,309.0
380393,253.0
2292255,137.0
637971,24.0
1253,57.0
114090,312.0
1254,286.0
1255,262.0
187452,171.0
51663,100.0
2962679,1.0
293371,643.0
1296540,122.0
1193095,43.0
2767889,4.0
375175,401.0
1607,143.0
1610,92.0
2767888,2.0
82688,423.0
468911,115.0
1618,93.0
1247,265.0
2203724,243.0
336988,49.0
3118928,5.0
2932184,390.0
2932183,148.0
2506420,494.0
240427,312.0
176292,98.0
148814,309.0
2419772,41.0
1218495,12.0
2923364,9.0
1303590,142.0
2923362,133.0
2923363,84.0
304207,349.0
